lcz_lib,lcz_code,insee,commune,expo_jour,expo_nuit,vulnerabilite_jour,vulnerabilite_nuit,surface,gid
Ensemble de tours espacées,LCZ 4,69275,Décines-Charpieu,fort,fort,fort,fort,1134,
Ensemble de tours espacées,LCZ 4,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,3855,
Grandes emprises tertiaires bâti bas,LCZ 8,69069,Craponne,moyen,faible,moyen,moyen,6675,
Ensemble de maisons espacées,LCZ 6,69204,Saint-Genis-Laval,moyen,moyen,moyen,fort,4682,
Ensemble d'immeubles espacés,LCZ 5,69149,Oullins,fort,faible,fort,moyen,4858,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,6763,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69384,Lyon 4e Arrondissement,fort,fort,fort,fort,1875,
Grandes emprises tertiaires bâti bas,LCZ 8,69152,Pierre-Bénite,moyen,faible,moyen,moyen,14758,
Arbres denses,LCZ A,69044,Charbonnières-les-Bains,effet rafraîchissant,effet rafraîchissant,faible,faible,84015,
Pelouses,,,,,,,,,
Arbres denses,LCZ A,69046,Charly,effet rafraîchissant,effet rafraîchissant,faible,faible,47706,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,fort,fort,fort,24735,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,moyen,fort,fort,2993,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69266,Villeurbanne,moyen,faible,moyen,moyen,33058,
Ensemble de tours espacées,LCZ 4,69388,Lyon 8e Arrondissement,fort,fort,fort,fort,3676,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
