lcz_lib;lcz_code;insee;commune;expo_jour;expo_nuit;vulnerabilite_jour;vulnerabilite_nuit;surface;gid
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;fort;fort;fort;2937,87;3414
Maisons éparses, constructions isolées;LCZ 9;69081;Écully;moyen;faible;moyen;moyen;12453,16;16
Maisons éparses, constructions isolées;LCZ 9;69089;Francheville;moyen;faible;moyen;moyen;5401,93;17
Ensemble de tours espacées;LCZ 4;69381;Lyon 1er Arrondissement;moyen;fort;moyen;fort;49005,33;18
Ensemble de tours espacées;LCZ 4;69256;Vaulx-en-Velin;moyen;moyen;fort;fort;4366,64;19
Ensemble de maisons espacées;LCZ 6;69383;Lyon 3e Arrondissement;moyen;faible;moyen;moyen;15197,44;20
Pelouses, praires, cultures;LCZ D;69283;Mions;moyen;faible;moyen;moyen;167039,67;29
Ensemble d'immeubles compact;LCZ 2;69381;Lyon 1er Arrondissement;fort;fort;fort;fort;6801,72;30
Ensemble d'immeubles espacés;LCZ 5;69282;Meyzieu;fort;faible;fort;fort;11350,29;31
Ensemble d'immeubles compact;LCZ 2;69385;Lyon 5e Arrondissement;fort;moyen;fort;fort;207200,57;32
Ensemble d'immeubles compact;LCZ 2;69386;Lyon 6e Arrondissement;fort;fort;fort;fort;8585,49;33
Pelouses, praires, cultures;LCZ D;69091;Givors;effet rafraîchissant;effet rafraîchissant;faible;faible;69118,56;15625
Maisons éparses, constructions isolées;LCZ 9;69063;Collonges-au-Mont-d'Or;moyen;faible;fort;moyen;92735,85;21
Arbres épars;LCZ B;69117;Lissieu;faible;faible;moyen;moyen;3452,09;22
Ensemble d'immeubles compact;LCZ 2;69385;Lyon 5e Arrondissement;fort;fort;fort;fort;1411,07;170
Maisons éparses, constructions isolées;LCZ 9;69143;Neuville-sur-Saône;moyen;faible;fort;fort;126283,93;23
Maisons éparses, constructions isolées;LCZ 9;69282;Meyzieu;moyen;faible;moyen;moyen;78649,84;34
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;fort;fort;fort;6617,04;35
Ensemble de maisons espacées;LCZ 6;69278;Genay;moyen;faible;moyen;moyen;53715,77;24
Ensemble de tours espacées;LCZ 4;69381;Lyon 1er Arrondissement;moyen;moyen;moyen;fort;1168,36;25
Ensemble d'immeubles compact;LCZ 2;69204;Saint-Genis-Laval;fort;fort;fort;fort;4125,65;26
Pelouses, praires, cultures;LCZ D;69072;Dardilly;moyen;faible;moyen;moyen;302382,84;27
Ensemble de maisons espacées;LCZ 6;69152;Pierre-Bénite;moyen;faible;fort;moyen;106043,62;28
Maisons éparses, constructions isolées;LCZ 9;69273;Corbas;moyen;faible;moyen;moyen;29546,01;37
Roche nue, pavés, macadam;LCZ E;69029;Bron;fort;faible;moyen;moyen;304391,11;38
Maisons éparses, constructions isolées;LCZ 9;69168;Rochetaillée-sur-Saône;moyen;faible;moyen;moyen;23738,18;46
Grandes emprises tertiaires bâti bas;LCZ 8;69290;Saint-Priest;moyen;faible;moyen;moyen;2375,28;212
Grandes emprises tertiaires bâti bas;LCZ 8;69282;Meyzieu;moyen;faible;moyen;moyen;338384,96;39
Ensemble de maisons espacées;LCZ 6;69388;Lyon 8e Arrondissement;moyen;faible;moyen;moyen;33570,0;40
Ensemble d'immeubles compact;LCZ 2;69149;Oullins;fort;fort;fort;fort;6223,42;41
